Execucao, tempo(s), pos, valor
Lista:       1,         0.001338,         1090179,         1595121314
Vetor:       1,         0.007178,         1090179,         1595121314
Lista:       2,         0.007839,         6804368,         1399157979
Vetor:       2,         0.034916,         6804368,         1399157979
Lista:       3,         0.015616,         8284057,         1436465028
Vetor:       3,         0.058263,         8284057,         1436465028
Lista:       4,         0.016549,         9154287,         645374057
Vetor:       4,         0.041341,         9154287,         645374057
Lista:       5,         0.000939,         665637,         1228898213
Vetor:       5,         0.003510,         665637,         1228898213
Lista:       6,         0.001531,         1096684,         788527258
Vetor:       6,         0.004935,         1096684,         788527258
Lista:       7,         0.002978,         2560231,         605379361
Vetor:       7,         0.012558,         2560231,         605379361
Lista:       8,         0.005488,         4490786,         1064206191
Vetor:       8,         0.019970,         4490786,         1064206191
Lista:       9,         0.008435,         7151922,         258244227
Vetor:       9,         0.031190,         7151922,         258244227
Lista:       10,         0.009880,         8185293,         1678755876
Vetor:       10,         0.036367,         8185293,         1678755876
Lista:       11,         0.011400,         9496658,         2026779375
Vetor:       11,         0.040232,         9496658,         2026779375
Lista:       12,         0.010828,         9342542,         903202276
Vetor:       12,         0.040305,         9342542,         903202276
Lista:       13,         0.004390,         3818908,         913046217
Vetor:       13,         0.017130,         3818908,         913046217
Lista:       14,         0.008759,         7207250,         1170636607
Vetor:       14,         0.032185,         7207250,         1170636607
Lista:       15,         0.009479,         8136423,         873765427
Vetor:       15,         0.035196,         8136423,         873765427
Lista:       16,         0.012668,         -1,         2048579150
Vetor:       16,         0.043538,         -1,         2048579150
Lista:       17,         0.011716,         -1,         390800676
Vetor:       17,         0.044052,         -1,         390800676
Lista:       18,         0.011603,         -1,         1888631117
Vetor:       18,         0.042078,         -1,         1888631117
Lista:       19,         0.012457,         -1,         1835407935
Vetor:       19,         0.042984,         -1,         1835407935
Lista:       20,         0.011718,         -1,         1510423190
Vetor:       20,         0.044800,         -1,         1510423190
Lista:       21,         0.011623,         -1,         617221828
Vetor:       21,         0.041946,         -1,         617221828
Lista:       22,         0.012210,         -1,         1330971070
Vetor:       22,         0.041989,         -1,         1330971070
Lista:       23,         0.010639,         9240102,         1158038437
Vetor:       23,         0.039528,         9240102,         1158038437
Lista:       24,         0.012275,         -1,         1247384396
Vetor:       24,         0.042793,         -1,         1247384396
Lista:       25,         0.013223,         -1,         215194006
Vetor:       25,         0.051457,         -1,         215194006
Lista:       26,         0.011748,         -1,         1765507562
Vetor:       26,         0.044024,         -1,         1765507562
Lista:       27,         0.011898,         -1,         197265723
Vetor:       27,         0.043423,         -1,         197265723
Lista:       28,         0.012082,         -1,         840172046
Vetor:       28,         0.043183,         -1,         840172046
Lista:       29,         0.011466,         -1,         299543438
Vetor:       29,         0.044254,         -1,         299543438
Lista:       30,         0.011706,         -1,         798463630
Vetor:       30,         0.043520,         -1,         798463630
sequencial, escuta pouha ,Media: 0.009816, Desvio: não precisaBinaria, escuta pouha ,Media: 0.035628, Desvio: não precisa
