, Bolha, SelectionSort, InserctionSort, QuickSort, MergeSort
Tempos Execucao 1,       35.564052,         7.337085,         4.760820,         0.018408,         0.021772
Tempos Execucao 2,       33.543657,         7.383686,         4.676103,         0.017915,         0.021755
Tempos Execucao 3,       34.205346,         7.848937,         4.719302,         0.017778,         0.021232
Tempos Execucao 4,       34.107210,         6.008364,         3.138797,         0.010584,         0.012553
Tempos Execucao 5,       25.543035,         6.385833,         2.486952,         0.010065,         0.011633
Tempos Execucao 6,       25.661215,         6.330708,         2.515869,         0.009642,         0.011654
Tempos Execucao 7,       26.550777,         5.760555,         4.654469,         0.023181,         0.028308
Tempos Execucao 8,       26.286856,         3.944920,         4.938308,         0.010659,         0.013053
Tempos Execucao 9,       25.679528,         5.513965,         3.239430,         0.010093,         0.011539
Tempos Execucao 10,       25.295278,         6.296127,         2.427427,         0.009059,         0.011586
Medias,       29.243695,       6.281018,       3.755748,       0.013738,       0.016509
