Tipo, Execucao, tempo da Criação(s), Altura
Arvore Binaria,       1,         0.295134,         86
Arvore AVL,          1,         0.706797,         24
Arvore Binaria,       2,         0.347621,         91
Arvore AVL,          2,         0.726539,         24
Arvore Binaria,       3,         0.418620,         86
Arvore AVL,          3,         0.840648,         23
Arvore Binaria,       4,         0.429893,         101
Arvore AVL,          4,         0.823047,         23
Arvore Binaria,       5,         0.425175,         82
Arvore AVL,          5,         0.840512,         24
Arvore Binaria,       6,         0.441943,         95
Arvore AVL,          6,         0.828248,         23
Arvore Binaria,       7,         0.429944,         86
Arvore AVL,          7,         0.834883,         23
Arvore Binaria,       8,         0.479942,         84
Arvore AVL,          8,         0.832607,         23
Arvore Binaria,       9,         0.435181,         79
Arvore AVL,          9,         0.852349,         24
Arvore Binaria,       10,         0.503445,         84
Arvore AVL,          10,         0.970264,         23
Média Criações das Arvores Binárias:              0.420690
Média Criações das Arvores Avls:              0.825589
