Tipo, Execucao, tempo da Busca(s), Valor
Arvore BP:,       1,         0.000000000,         13239348
Vetor Avl:,          1,         0.000001000,         13239348
Arvore BP:,       2,         0.000001000,         61528673
Vetor Avl:,          2,         0.000000000,         61528673
Arvore BP:,       3,         0.000000000,         98738504
Vetor Avl:,          3,         0.000000000,         98738504
Arvore BP:,       4,         0.000000000,         59038460
Vetor Avl:,          4,         0.000000000,         59038460
Arvore BP:,       5,         0.000000000,         65684346
Vetor Avl:,          5,         0.000000000,         65684346
Arvore BP:,       6,         0.000001000,         51279231
Vetor Avl:,          6,         0.000000000,         51279231
Arvore BP:,       7,         0.000001000,         87158061
Vetor Avl:,          7,         0.000000000,         87158061
Arvore BP:,       8,         0.000001000,         18262929
Vetor Avl:,          8,         0.000000000,         18262929
Arvore BP:,       9,         0.000001000,         74321519
Vetor Avl:,          9,         0.000000000,         74321519
Arvore BP:,       10,         0.000000000,         14288978
Vetor Avl:,          10,         0.000000000,         14288978
Arvore BP:,       11,         0.000000000,         8671464
Vetor Avl:,          11,         0.000000000,         8671464
Arvore BP:,       12,         0.000000000,         43683488
Vetor Avl:,          12,         0.000000000,         43683488
Arvore BP:,       13,         0.000000000,         73388772
Vetor Avl:,          13,         0.000000000,         73388772
Arvore BP:,       14,         0.000000000,         60577756
Vetor Avl:,          14,         0.000000000,         60577756
Arvore BP:,       15,         0.000000000,         65025378
Vetor Avl:,          15,         0.000000000,         65025378
Arvore BP:,       16,         0.000000000,         1109116
Vetor Avl:,          16,         0.000000000,         1109116
Arvore BP:,       17,         0.000000000,         45451370
Vetor Avl:,          17,         0.000000000,         45451370
Arvore BP:,       18,         0.000000000,         8780878
Vetor Avl:,          18,         0.000000000,         8780878
Arvore BP:,       19,         0.000001000,         42266672
Vetor Avl:,          19,         0.000000000,         42266672
Arvore BP:,       20,         0.000000000,         28675144
Vetor Avl:,          20,         0.000000000,         28675144
Arvore BP:,       21,         0.000000000,         49875984
Vetor Avl:,          21,         0.000000000,         49875984
Arvore BP:,       22,         0.000001000,         97114059
Vetor Avl:,          22,         0.000000000,         97114059
Arvore BP:,       23,         0.000001000,         87259638
Vetor Avl:,          23,         0.000000000,         87259638
Arvore BP:,       24,         0.000001000,         27618489
Vetor Avl:,          24,         0.000000000,         27618489
Arvore BP:,       25,         0.000001000,         54283383
Vetor Avl:,          25,         0.000000000,         54283383
Arvore BP:,       26,         0.000000000,         75144012
Vetor Avl:,          26,         0.000000000,         75144012
Arvore BP:,       27,         0.000000000,         22958540
Vetor Avl:,          27,         0.000000000,         22958540
Arvore BP:,       28,         0.000000000,         15573615
Vetor Avl:,          28,         0.000001000,         15573615
Arvore BP:,       29,         0.000001000,         29220346
Vetor Avl:,          29,         0.000000000,         29220346
Arvore BP:,       30,         0.000001000,         19023664
Vetor Avl:,          30,         0.000000000,         19023664
Média Buscas nas Arvores Binárias:              0.000000400
Média Buscas nas Arvores Avls:              0.000000067
