Execucao, tempo(s), valor
Arvore:       1,         0.000004000,         37945421
Vetor:          1,         0.000000000,         37945421
Arvore:       2,         0.000002000,         87182584
Vetor:          2,         0.000000000,         87182584
Arvore:       3,         0.000004000,         50686478
Vetor:          3,         0.000000000,         50686478
Arvore:       4,         0.000003000,         68885215
Vetor:          4,         0.000000000,         68885215
Arvore:       5,         0.000002000,         53130449
Vetor:          5,         0.000000000,         53130449
Arvore:       6,         0.000002000,         84007226
Vetor:          6,         0.000000000,         84007226
Arvore:       7,         0.000002000,         81657840
Vetor:          7,         0.000000000,         81657840
Arvore:       8,         0.000002000,         60034264
Vetor:          8,         0.000000000,         60034264
Arvore:       9,         0.000004000,         68178253
Vetor:          9,         0.000000000,         68178253
Arvore:       10,         0.000003000,         91445363
Vetor:          10,         0.000000000,         91445363
Arvore:       11,         0.000003000,         52843720
Vetor:          11,         0.000000000,         52843720
Arvore:       12,         0.000003000,         76660462
Vetor:          12,         0.000000000,         76660462
Arvore:       13,         0.000003000,         25856575
Vetor:          13,         0.000000000,         25856575
Arvore:       14,         0.000002000,         14183306
Vetor:          14,         0.000000000,         14183306
Arvore:       15,         0.000001000,         50132669
Vetor:          15,         0.000000000,         50132669
Arvore:       16,         0.000003000,         91744566
Vetor:          16,         0.000001000,         91744566
Arvore:       17,         0.000002000,         35449409
Vetor:          17,         0.000000000,         35449409
Arvore:       18,         0.000002000,         9156365
Vetor:          18,         0.000000000,         9156365
Arvore:       19,         0.000003000,         45245069
Vetor:          19,         0.000000000,         45245069
Arvore:       20,         0.000002000,         10790961
Vetor:          20,         0.000000000,         10790961
Arvore:       21,         0.000002000,         95738036
Vetor:          21,         0.000001000,         95738036
Arvore:       22,         0.000003000,         69722025
Vetor:          22,         0.000000000,         69722025
Arvore:       23,         0.000001000,         89909381
Vetor:          23,         0.000001000,         89909381
Arvore:       24,         0.000003000,         8372451
Vetor:          24,         0.000000000,         8372451
Arvore:       25,         0.000002000,         69759561
Vetor:          25,         0.000000000,         69759561
Arvore:       26,         0.000001000,         12527624
Vetor:          26,         0.000000000,         12527624
Arvore:       27,         0.000002000,         64124319
Vetor:          27,         0.000000000,         64124319
Arvore:       28,         0.000002000,         20159924
Vetor:          28,         0.000000000,         20159924
Arvore:       29,         0.000002000,         9831476
Vetor:          29,         0.000000000,         9831476
Arvore:       30,         0.000002000,         53523959
Vetor:          30,         0.000000000,         53523959
Media vetor:         0.000000100
Media arvore:         0.000002400
