Tipo, Execucao, tempo da Busca(s), Valor
Arvore BP:,       1,         0.000001000,         56552466
Vetor Avl:,          1,         0.000001000,         56552466
Arvore BP:,       2,         0.000001000,         96661441
Vetor Avl:,          2,         0.000001000,         96661441
Arvore BP:,       3,         0.000000000,         39690416
Vetor Avl:,          3,         0.000001000,         39690416
Arvore BP:,       4,         0.000000000,         74314067
Vetor Avl:,          4,         0.000001000,         74314067
Arvore BP:,       5,         0.000000000,         87808125
Vetor Avl:,          5,         0.000000000,         87808125
Arvore BP:,       6,         0.000001000,         18284443
Vetor Avl:,          6,         0.000000000,         18284443
Arvore BP:,       7,         0.000000000,         69451276
Vetor Avl:,          7,         0.000000000,         69451276
Arvore BP:,       8,         0.000000000,         77699027
Vetor Avl:,          8,         0.000000000,         77699027
Arvore BP:,       9,         0.000001000,         42196534
Vetor Avl:,          9,         0.000000000,         42196534
Arvore BP:,       10,         0.000000000,         1202588
Vetor Avl:,          10,         0.000000000,         1202588
Arvore BP:,       11,         0.000000000,         47639639
Vetor Avl:,          11,         0.000001000,         47639639
Arvore BP:,       12,         0.000000000,         78461134
Vetor Avl:,          12,         0.000001000,         78461134
Arvore BP:,       13,         0.000001000,         60843243
Vetor Avl:,          13,         0.000000000,         60843243
Arvore BP:,       14,         0.000000000,         45504323
Vetor Avl:,          14,         0.000000000,         45504323
Arvore BP:,       15,         0.000001000,         27664608
Vetor Avl:,          15,         0.000000000,         27664608
Arvore BP:,       16,         0.000000000,         53718108
Vetor Avl:,          16,         0.000000000,         53718108
Arvore BP:,       17,         0.000001000,         72485552
Vetor Avl:,          17,         0.000000000,         72485552
Arvore BP:,       18,         0.000000000,         4460
Vetor Avl:,          18,         0.000000000,         4460
Arvore BP:,       19,         0.000000000,         30210592
Vetor Avl:,          19,         0.000001000,         30210592
Arvore BP:,       20,         0.000000000,         19560054
Vetor Avl:,          20,         0.000000000,         19560054
Arvore BP:,       21,         0.000000000,         42082904
Vetor Avl:,          21,         0.000001000,         42082904
Arvore BP:,       22,         0.000001000,         45575954
Vetor Avl:,          22,         0.000000000,         45575954
Arvore BP:,       23,         0.000000000,         8630100
Vetor Avl:,          23,         0.000001000,         8630100
Arvore BP:,       24,         0.000000000,         40691475
Vetor Avl:,          24,         0.000000000,         40691475
Arvore BP:,       25,         0.000000000,         80175761
Vetor Avl:,          25,         0.000000000,         80175761
Arvore BP:,       26,         0.000000000,         90496468
Vetor Avl:,          26,         0.000000000,         90496468
Arvore BP:,       27,         0.000000000,         20093894
Vetor Avl:,          27,         0.000000000,         20093894
Arvore BP:,       28,         0.000000000,         23693224
Vetor Avl:,          28,         0.000000000,         23693224
Arvore BP:,       29,         0.000001000,         96754159
Vetor Avl:,          29,         0.000000000,         96754159
Arvore BP:,       30,         0.000000000,         30373535
Vetor Avl:,          30,         0.000000000,         30373535
Média Buscas nas Arvores Binárias:              0.000000300
Média Buscas nas Arvores Avls:              0.000000300
