Execucao, tempo(s), valor
Arvore:       1,         0.000003000,         4562392
Vetor:          1,         0.000001000,         4562392
Arvore:       2,         0.000001000,         9032241
Vetor:          2,         0.000000000,         9032241
Arvore:       3,         0.000002000,         49587361
Vetor:          3,         0.000000000,         49587361
Arvore:       4,         0.000002000,         22174582
Vetor:          4,         0.000000000,         22174582
Arvore:       5,         0.000000000,         795700
Vetor:          5,         0.000000000,         795700
Arvore:       6,         0.000002000,         28659020
Vetor:          6,         0.000000000,         28659020
Arvore:       7,         0.000001000,         12684566
Vetor:          7,         0.000000000,         12684566
Arvore:       8,         0.000002000,         39648633
Vetor:          8,         0.000000000,         39648633
Arvore:       9,         0.000001000,         18352416
Vetor:          9,         0.000001000,         18352416
Arvore:       10,         0.000001000,         18781034
Vetor:          10,         0.000000000,         18781034
Arvore:       11,         0.000001000,         13091307
Vetor:          11,         0.000001000,         13091307
Arvore:       12,         0.000002000,         20409624
Vetor:          12,         0.000000000,         20409624
Arvore:       13,         0.000001000,         44725613
Vetor:          13,         0.000000000,         44725613
Arvore:       14,         0.000002000,         47099439
Vetor:          14,         0.000000000,         47099439
Arvore:       15,         0.000002000,         18949148
Vetor:          15,         0.000000000,         18949148
Arvore:       16,         0.000001000,         20028746
Vetor:          16,         0.000000000,         20028746
Arvore:       17,         0.000001000,         3419042
Vetor:          17,         0.000000000,         3419042
Arvore:       18,         0.000001000,         8353517
Vetor:          18,         0.000000000,         8353517
Arvore:       19,         0.000001000,         305387
Vetor:          19,         0.000000000,         305387
Arvore:       20,         0.000002000,         43330608
Vetor:          20,         0.000001000,         43330608
Arvore:       21,         0.000001000,         39249520
Vetor:          21,         0.000000000,         39249520
Arvore:       22,         0.000001000,         6573137
Vetor:          22,         0.000000000,         6573137
Arvore:       23,         0.000001000,         2003663
Vetor:          23,         0.000000000,         2003663
Arvore:       24,         0.000001000,         43071726
Vetor:          24,         0.000001000,         43071726
Arvore:       25,         0.000001000,         20516121
Vetor:          25,         0.000000000,         20516121
Arvore:       26,         0.000001000,         1289816
Vetor:          26,         0.000001000,         1289816
Arvore:       27,         0.000001000,         40706583
Vetor:          27,         0.000001000,         40706583
Arvore:       28,         0.000001000,         36598603
Vetor:          28,         0.000001000,         36598603
Arvore:       29,         0.000001000,         37009192
Vetor:          29,         0.000000000,         37009192
Arvore:       30,         0.000002000,         29543104
Vetor:          30,         0.000000000,         29543104
Media vetor:         0.000000267
Media arvore:         0.000001333
