Execucao, tempo(s), valor
Arvore:       1,         0.000000,         0
Vetor:          1,         0.000000,         0
Arvore:       2,         0.000000,         0
Vetor:          2,         0.000000,         0
Arvore:       3,         0.000000,         1
Vetor:          3,         0.000000,         1
Arvore:       4,         0.000000,         1
Vetor:          4,         0.000000,         1
Arvore:       5,         0.000000,         1
Vetor:          5,         0.000000,         1
Arvore:       6,         0.000000,         1
Vetor:          6,         0.000000,         1
Arvore:       7,         0.000000,         1
Vetor:          7,         0.000000,         1
Arvore:       8,         0.000000,         1
Vetor:          8,         0.000000,         1
Arvore:       9,         0.000000,         1
Vetor:          9,         0.000000,         1
Arvore:       10,         0.000000,         1
Vetor:          10,         0.000000,         1
Arvore:       11,         0.000000,         1
Vetor:          11,         0.000000,         1
Arvore:       12,         0.000000,         1
Vetor:          12,         0.000000,         1
Arvore:       13,         0.000000,         1
Vetor:          13,         0.000000,         1
Arvore:       14,         0.000000,         0
Vetor:          14,         0.000000,         0
Arvore:       15,         0.000000,         1
Vetor:          15,         0.000000,         1
Arvore:       16,         0.000000,         0
Vetor:          16,         0.000000,         0
Arvore:       17,         0.000000,         1
Vetor:          17,         0.000000,         1
Arvore:       18,         0.000000,         0
Vetor:          18,         0.000000,         0
Arvore:       19,         0.000000,         0
Vetor:          19,         0.000000,         0
Arvore:       20,         0.000000,         1
Vetor:          20,         0.000000,         1
Arvore:       21,         0.000000,         0
Vetor:          21,         0.000000,         0
Arvore:       22,         0.000000,         1
Vetor:          22,         0.000000,         1
Arvore:       23,         0.000000,         0
Vetor:          23,         0.000000,         0
Arvore:       24,         0.000000,         0
Vetor:          24,         0.000000,         0
Arvore:       25,         0.000000,         1
Vetor:          25,         0.000000,         1
Arvore:       26,         0.000000,         1
Vetor:          26,         0.000000,         1
Arvore:       27,         0.000000,         1
Vetor:          27,         0.000000,         1
Arvore:       28,         0.000000,         0
Vetor:          28,         0.000000,         0
Arvore:       29,         0.000000,         1
Vetor:          29,         0.000000,         1
Arvore:       30,         0.000000,         0
Vetor:          30,         0.000000,         0
